NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
7401,HRY,Harringay Green Lanes,London,Haringey (London),531885,188193,London Overground,408558
2027,HRR,Harrington,North West,Allerdale,298995,525385,Northern,30262
8213,HGT,Harrogate,Yorkshire And The Humber,Harrogate,430413,455336,Northern,1649306
1397,HRW,Harrow & Wealdstone,London,Harrow (London),515465,189460,London Underground,3852874
598,HOH,Harrow-On-The-Hill,London,Harrow (London),515314,188012,London Underground,2463400
2230,HTF,Hartford,North West,Cheshire West and Chester,363150,371780,London Midland Trains,281584
4579,HBY,Hartlebury,West Midlands,Wychavon,385030,270735,London Midland Trains,49450
8009,HPL,Hartlepool,North East,Hartlepool,451200,532700,Northern,638058
9246,HTW,Hartwood,Scotland,North Lanarkshire,284830,659110,ScotRail,14912
6902,HPQ,Harwich International,East,Tendring,623803,232649,Greater Anglia,90506
6905,HWC,Harwich Town,East,Tendring,625987,232397,Greater Anglia,134614
5633,HSL,Haslemere,South East,Waverley,489802,132928,South West Trains,1804364
5489,HSK,Hassocks,South East,Mid Sussex,530404,115543,Govia Thameslink Railway,1289234
5219,HGS,Hastings,South East,Hastings,581450,109650,Southeastern,2030706
1398,HTE,Hatch End,London,Harrow (London),513065,191325,London Overground,712246
6070,HAT,Hatfield,East,Welwyn Hatfield,523240,208750,Govia Thameslink Railway,2377326
6528,HFS,Hatfield & Stainforth,Yorkshire And The Humber,Doncaster,464745,410680,Northern,81440
6845,HAP,Hatfield Peverel,East,Braintree,578910,212200,Greater Anglia,411574
2826,HSG,Hathersage,East Midlands,Derbyshire Dales,423295,381040,Northern,62646
2604,HTY,Hattersley,North West,Tameside,397420,394280,Northern,78956
4594,HTN,Hatton,West Midlands,Warwick,422400,266400,Chiltern Railways,51862
5532,HAV,Havant,South East,Havant,471781,106595,South West Trains,2233776
6260,HVN,Havenhouse,East Midlands,East Lindsey,552240,359890,East Midlands Trains,106
4079,HVF,Haverfordwest,Wales - Cymru,Sir Benfro - Pembrokeshire,196000,215700,Arriva Trains Wales,133496
2428,HWD,Hawarden,Wales - Cymru,Sir y Fflint - Flintshire,331130,365860,Arriva Trains Wales,30170
2146,HWB,Hawarden Bridge,Wales - Cymru,Sir y Fflint - Flintshire,331140,369500,Arriva Trains Wales,4336
9634,HKH,Hawkhead,Scotland,Renfrewshire,249890,663600,ScotRail,224040
7569,HDB,Haydon Bridge,North East,Northumberland,384250,564535,Northern,32802
5289,HYR,Haydons Road,London,Merton (London),526020,171160,Govia Thameslink Railway,344280
3186,HAY,Hayes & Harlington,London,Hillingdon (London),509714,179422,Great Western Railway,3844544
5050,HYS,Hayes (Kent),London,Bromley (London),540030,166060,Southeastern,1166498
3513,HYL,Hayle,South West,Cornwall,155970,37325,Great Western Railway,79198
9419,HYM,Haymarket,Scotland,City of Edinburgh,324000,673200,ScotRail,2780004
5490,HHE,Haywards Heath,South East,Mid Sussex,533045,124630,Govia Thameslink Railway,4202538
2768,HAZ,Hazel Grove,North West,Stockport,391980,386750,Northern,707426
5220,HCN,Headcorn,South East,Maidstone,583800,144000,Southeastern,609120
8498,HDY,Headingley,Yorkshire And The Humber,Leeds,426815,435820,Northern,437034
1434,HDL,Headstone Lane,London,Harrow (London),513870,190590,London Overground,476506
2860,HDG,Heald Green,North West,Stockport,384350,385865,Northern,507318
6283,HLI,Healing,Yorkshire And The Humber,North East Lincolnshire,521870,411040,Northern,9822
3845,HHL,Heath High Level,Wales - Cymru,Caerdydd - Cardiff,318111,180385,Arriva Trains Wales,429698
3908,HLL,Heath Low Level,Wales - Cymru,Caerdydd - Cardiff,318080,180300,Arriva Trains Wales,61536
2861,HTC,Heaton Chapel,North West,Stockport,388200,392100,Northern,837228
8524,HBD,Hebden Bridge,Yorkshire And The Humber,Calderdale,399500,426800,Northern,774478
6220,HEC,Heckington,East Midlands,North Kesteven,514650,343580,East Midlands Trains,64624
5893,HDE,Hedge End,South East,Eastleigh,449674,115000,South West Trains,511852
1148,HNF,Hednesford,West Midlands,Cannock Chase,399977,312494,London Midland Trains,179000
